Session ID,Capture Timestamp,Relative Time (s),Emotion,Confidence
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.68
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.79
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.78
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.75
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.7
Session_1753410568,2025-07-25 12:26:55,15,neutral,0.71
Session_1753410568,2025-07-25 12:26:56,15,neutral,0.74
Session_1753410568,2025-07-25 12:26:56,15,angry,0.63
Session_1753410568,2025-07-25 12:26:56,16,angry,0.68
Session_1753410568,2025-07-25 12:26:56,16,angry,0.63
Session_1753410568,2025-07-25 12:26:56,16,angry,0.41
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.51
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.46
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.67
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.71
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.77
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.63
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.67
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.65
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.72
Session_1753410568,2025-07-25 12:26:56,16,neutral,0.72
Session_1753410568,2025-07-25 12:26:57,16,neutral,0.72
Session_1753410568,2025-07-25 12:26:57,16,neutral,0.8
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.71
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.8
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.71
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.73
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.71
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.74
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.75
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.75
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.8
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.85
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.73
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.78
Session_1753410568,2025-07-25 12:26:57,17,neutral,0.79
Session_1753410568,2025-07-25 12:26:58,17,neutral,0.72
Session_1753410568,2025-07-25 12:26:58,17,neutral,0.72
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.85
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.76
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.89
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.7
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.77
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.65
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.7
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.73
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.75
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.76
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.67
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.8
Session_1753410568,2025-07-25 12:26:58,18,neutral,0.57
Session_1753410568,2025-07-25 12:26:59,18,neutral,0.61
Session_1753410568,2025-07-25 12:26:59,18,neutral,0.61
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.61
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.66
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.71
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.51
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.58
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.74
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.74
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.72
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.74
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.84
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.71
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.78
Session_1753410568,2025-07-25 12:26:59,19,neutral,0.68
Session_1753410568,2025-07-25 12:27:00,19,neutral,0.56
Session_1753410568,2025-07-25 12:27:00,19,neutral,0.62
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.64
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.77
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.7
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.71
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.73
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.7
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.7
Session_1753410568,2025-07-25 12:27:00,20,neutral,0.72
SESSION SUMMARY,,,,
Session ID,Most Common Emotion,Average Score,,
Session_1753410568,neutral,0.7,,

Session ID,Capture Timestamp,Relative Time (s),Emotion,Confidence
Session_1753410568,2025-07-25 12:27:18,0,happy,0.47
Session_1753410568,2025-07-25 12:27:18,0,happy,0.47
Session_1753410568,2025-07-25 12:27:18,1,angry,0.34
Session_1753410568,2025-07-25 12:27:18,1,happy,0.48
Session_1753410568,2025-07-25 12:27:18,1,happy,0.48
Session_1753410568,2025-07-25 12:27:18,1,happy,0.41
Session_1753410568,2025-07-25 12:27:18,1,happy,0.44
Session_1753410568,2025-07-25 12:27:18,1,happy,0.44
Session_1753410568,2025-07-25 12:27:18,1,happy,0.41
Session_1753410568,2025-07-25 12:27:18,1,happy,0.44
Session_1753410568,2025-07-25 12:27:18,1,happy,0.44
Session_1753410568,2025-07-25 12:27:19,1,happy,0.49
Session_1753410568,2025-07-25 12:27:19,1,neutral,0.44
Session_1753410568,2025-07-25 12:27:19,1,neutral,0.44
Session_1753410568,2025-07-25 12:27:19,1,neutral,0.54
Session_1753410568,2025-07-25 12:27:19,1,neutral,0.53
Session_1753410568,2025-07-25 12:27:19,1,neutral,0.53
Session_1753410568,2025-07-25 12:27:19,2,neutral,0.48
